time;P1.B2004;P1.B2016;P1.B3004;P1.B3005;P1.B4002;P1.B4005;P1.B400B;P1.B4022;P1.FCV01D;P1.FCV01Z;P1.FCV02D;P1.FCV02Z;P1.FCV03D;P1.FCV03Z;P1.FT01;P1.FT01Z;P1.FT02;P1.FT02Z;P1.FT03;P1.FT03Z;P1.LCV01D;P1.LCV01Z;P1.LIT01;P1.PCV01D;P1.PCV01Z;P1.PCV02D;P1.PCV02Z;P1.PIT01;P1.PIT02;P1.TIT01;P1.TIT02;P2.24Vdc;P2.Auto;P2.Emgy;P2.On;P2.SD01;P2.SIT01;P2.TripEx;P2.VT01e;P2.VXT02;P2.VXT03;P2.VYT02;P2.VYT03;P3.LCP01D;P3.LCV01D;P3.LH;P3.LL;P3.LT01;P4.HT_FD;P4.HT_LD;P4.HT_PO;P4.HT_PS;P4.LD;P4.ST_FD;P4.ST_LD;P4.ST_PO;P4.ST_PS;P4.ST_PT01;P4.ST_TT01;attack;attack.P1;attack.P2;attack.P3
2019-10-29 11:00:00+09:00;0.09820;1.46100;461.98830;1099.73630;32.00000;0.00000;113.41120;35.90700;9.25260;9.78240;100.00000;96.39130;53.25790;53.48360;184.09730;851.78380;22.35410;116.39030;305.78610;1103.23110;13.52900;14.40580;464.91880;82.85400;83.68070;12.00000;11.62870;1.37570;0.19010;36.41360;37.52750;28.02290;1.00000;0.00000;1.00000;0.00000;793.00000;0.00000;11.77200;-4.79810;-2.24310;-0.22530;1.56840;1192.00000;14544.00000;70.00000;10.00000;32.46890;0.00000;70.24020;67.29240;0.00000;426.63120;-0.00270;355.46880;349.69980;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:01+09:00;0.09820;1.45780;461.98830;1099.73630;32.00000;0.00000;116.39030;35.89900;9.21610;8.94320;100.00000;96.34550;53.26110;53.48360;181.42700;858.74180;14.34330;116.39030;305.59530;1102.27440;13.54310;14.40580;465.12330;82.93870;83.83330;12.00000;11.62870;1.37500;0.19550;36.41360;37.52750;28.01860;1.00000;0.00000;1.00000;0.00000;793.00000;0.00000;11.65350;-4.82520;-2.02880;0.47160;1.92130;1128.00000;14608.00000;70.00000;10.00000;32.34230;0.00020;70.37760;67.67220;0.00000;426.50460;-0.00200;356.84320;349.86250;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:02+09:00;0.09820;1.46660;461.98830;1099.73630;32.00000;0.00000;116.39030;35.92110;9.84040;8.82110;100.00000;96.36080;53.34600;53.48360;179.13820;852.65350;13.00810;74.68060;304.26020;1101.95540;13.50130;14.08540;465.07220;82.96850;83.75700;12.00000;11.62870;1.37880;0.19470;36.41360;37.52750;28.02380;1.00000;0.00000;1.00000;0.00000;793.00000;0.00000;11.67310;-4.19270;-1.67080;0.80750;1.80010;1072.00000;14656.00000;70.00000;10.00000;32.11810;0.00000;70.52950;67.90730;0.00000;427.98750;-0.00190;357.18680;350.44130;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:03+09:00;0.09820;1.46880;461.98830;1099.73630;32.00000;0.00000;74.68060;35.92640;9.92710;8.76010;100.00000;96.39130;53.25230;53.48360;176.65860;847.43510;13.19880;67.72900;305.59530;1099.72300;13.57960;13.48270;465.12330;83.03630;83.77230;12.00000;11.62870;1.39100;0.19090;36.41360;37.55800;28.02460;1.00000;0.00000;1.00000;0.00000;793.00000;0.00000;11.76880;-3.77910;-1.68050;0.25630;1.33610;1016.00000;14704.00000;70.00000;10.00000;32.05300;0.00000;70.65250;68.16050;0.00000;427.01100;-0.00350;357.98250;350.65830;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:04+09:00;0.09820;1.47170;461.98830;1099.73630;32.00000;0.00000;67.72900;35.93370;9.89010;8.74480;100.00000;96.34550;53.16300;53.48360;176.27710;841.78160;13.38950;68.72190;306.73980;1101.95540;13.46820;13.48270;465.07220;83.02740;83.81040;12.00000;11.62870;1.39630;0.18940;36.41360;37.52750;28.02380;1.00000;0.00000;1.00000;0.00000;792.00000;0.00000;11.80525;-4.15820;-2.03030;-0.37130;1.21160;968.00000;14752.00000;70.00000;10.00000;31.96610;0.00000;70.80440;68.46780;0.00000;429.18120;0.00180;358.21760;352.44870;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:05+09:00;0.09820;1.47550;461.98830;1099.73630;32.00000;0.00000;68.72190;35.94320;9.85280;8.72190;100.00000;96.34550;53.18670;53.48360;174.56050;840.91190;12.43590;69.71490;306.16760;1103.86890;13.37760;13.49030;465.17440;83.05340;83.79520;12.00000;11.62870;1.39710;0.19090;36.41360;37.51220;28.02470;1.00000;0.00000;1.00000;0.00000;792.00000;0.00000;11.84170;-4.48865;-2.13420;-0.10712;1.40325;920.00000;14800.00000;70.00000;10.00000;31.80340;0.00000;70.95630;68.66680;0.00000;430.46510;0.00030;358.29000;352.99110;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:06+09:00;0.09820;1.47060;461.98830;1099.73630;32.00000;0.00000;69.71490;35.93100;9.90960;8.72190;100.00000;96.36080;53.17400;53.48360;176.08640;836.99800;11.86370;64.74950;306.16760;1102.91220;13.37160;13.49030;465.07220;83.10710;83.74180;12.00000;11.62870;1.39860;0.19170;36.41360;37.54270;28.02120;1.00000;0.00000;1.00000;0.00000;793.00000;0.00000;11.76510;-4.81910;-2.23810;0.15705;1.59490;872.00000;14864.00000;70.00000;10.00000;31.66960;0.00000;71.06480;68.90190;0.00000;430.10340;-0.00160;358.10910;353.08160;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:07+09:00;0.09820;1.47620;461.98830;1099.73630;32.00000;0.00000;64.74950;35.94510;9.93650;8.82110;100.00000;96.34550;53.21490;53.48360;174.56050;840.47710;12.43590;61.77030;305.40460;1102.91220;13.36340;13.46740;464.96990;83.11270;83.71890;12.00000;11.62870;1.39860;0.18860;36.44410;37.51220;28.02640;1.00000;0.00000;1.00000;0.00000;792.00000;0.00000;11.64800;-4.79410;-1.99650;0.47413;1.92670;832.00000;14896.00000;70.00000;10.00000;31.57190;0.00000;71.18780;69.19130;0.00000;432.12890;0.00060;360.78560;353.96770;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:08+09:00;0.09820;1.47930;461.98830;1099.73630;32.00000;0.00000;61.77030;35.95280;9.86990;8.83640;100.00000;96.35310;53.31440;53.48360;176.08640;836.99800;12.81740;64.74950;303.87880;1101.63660;13.40770;13.49030;464.91880;83.17830;83.71890;12.00000;11.62870;1.40090;0.19090;36.42880;37.52750;28.02380;1.00000;0.00000;1.00000;0.00000;792.00000;0.00000;11.67700;-4.17100;-1.66500;0.79120;1.77270;808.00000;14944.00000;70.00000;10.00000;31.40910;0.00000;71.31800;69.39020;0.00000;432.54480;0.00130;359.61010;354.65500;0.00000;10053.00000;27629.00000;1;1;0;0
2019-10-29 11:00:09+09:00;0.09820;1.47910;461.98830;1099.73630;32.00000;0.00000;64.74950;35.95240;9.81810;8.83640;100.00000;96.35310;53.15630;53.48360;174.36980;840.47710;13.00810;66.73570;306.16760;1099.08530;13.50110;13.45980;465.12330;83.22110;83.71890;12.00000;11.62870;1.40320;0.18940;36.41360;37.51220;28.02290;1.00000;0.00000;1.00000;0.00000;792.00000;0.00000;11.77130;-3.77740;-1.68420;0.23410;1.32560;768.00000;14992.00000;70.00000;10.00000;31.33680;0.00030;71.43370;69.57100;0.00000;431.44170;0.00050;359.86330;354.74540;0.00000;10053.00000;27629.00000;1;1;0;0
